text,english_browser
1:01,yes
1,no
2,no
9,yes
123,no
',no
-,no
-,no
-,no
-,yes
-,no
-,no
-,yes
-,yes
-,yes
-,yes
-,yes
-,no
-,yes
-,no
-,no
-,no
-,no
-,yes
-,no
-,no
-,no
-,yes
-,yes
-,yes
-,no
-,yes
-,no
-,no
-,no
-,yes
-,no
-,no
-,no
-,no
-,yes
-,no
-,no
-,yes
-,yes
-,yes
-,yes
-,no
-,no
-,no
--,no
--,no
--,no
---,no
----,no
-------,yes
"             I am considering English MOOCs in which participants of the MOOC expect to improve their Communication skills in English. Many people are taking such courses because they lack enough practice of speaking in English. The main reason for this is they feel shy to start to communicate in English. The most important step to excel in conversational English is, to START speaking in English. 
             So as a part of the assignment of these courses, it will be better to add something like chatting(we can add software to MOOC platform)  with other (unknown)students at least an hour in a week. Make it a mandatory assignment. Also they should chat with at least 5 to 10 different peers. This will make these courses more beneficial to students than expected by them.
 ",yes
"          You can translate it,or you can introduce other classes that are their native language.",no
     May we can voice conversation with Englishi-speaking country's students,no
    May be dividing classes to  diferent levels of students.,no
  .,no
"  -By translating courses material from English into different languages.
  -By editing English courses on all levels to help people with learning this language.",yes
  I do not know yet.,no
"  I think that would be more helpful if we can have a spanish tutorial about the courses ,  also i would like an interactive session with a professor.",no
  survey the students  on their own language,yes
 .,no
 ..,no
 :),no
 A properly translated version of each text of MOOCs might be helpful.,no
 Added to the sentence translation。,no
 By connecting  with  the people speak english,yes
 By helping them to translate the words in their native language,yes
 By improving their skill ,yes
 By making your conversation in an understandable language.,yes
 doing more courses like these and developments these tools for kids and school guys.,no
" Even me, i am not a native English speaker,but  i have been interesting in English because it is international language. so my advice to the students who are non English speakers, to learn English from MOOC or anywhere else. 
 we can help them to give them translator machine to be with us.
 
 thanks you.",yes
 i am dont now ,no
 I don't have suggestions today!!,yes
 i don't know,no
 i don't know,no
" I dont know, is my fisrt MOOC",no
 i have no idea,yes
" i hope there's a group can talk about each other,especially there's a English-speaker group,so that we can choose one of them to talk,improve our oral English",no
" I SINCERELY DO NOT KNOW. 
Hiring more translators may work.",no
" I think that you don't need to bring any change to MOOCs relating to subjects other than communication,rather,you should try to bring more courses in language(english) learning for begginers.
thanks ",yes
 I think this is already good from me 👌🏻,no
" I think, increase the vocabulary and practice the skills. In adicion know others cultures and meet whit new people.",yes
" In my opinion, I think that practice improves  my skills of language. Also,i can speak with native speaker that can widen my circle.",yes
 Just keep the English subtitles. ,no
 Making them really interactive for us. ,no
 May be by making direct contact with teachers ,yes
 more practice,yes
 nothing to write,no
 now you are doing the best ,no
 Practice More,no
"'- provide a sentence dictionary with sounds.
- Design the course for as much practice as possible
",no
"'- Provide subtitles on video
- Only use big words when necessary",yes
 the course material should be interactive and simple.,yes
" Through simple examples, practicing conversations with  slow beat and patience",no
 To provide opportunity to talk with native spreakers. ,no
" Using interactives tools like pictures, audios , vídeos and so on in order to facilite the understanding.",no
"'- Videos with subtitles
- Translate material to another languages
",no
 you can provide bi-lingual online courses at different levels,yes
" you could make it better by making them interact with each other , i mean doing a group on skype or something .. that make it easy to be in touch with other students.",no
"
",no
"
",yes
"
 You can use subtitiles.",yes
"
;;@'""rfajh-""
jh",yes
"
Believing that the way you do it and help a lot!",no
"
Create MOOC's in Portuguese language or Spanish to be sequential to the basic to advanced.",no
"
CREATING A BASIC GLOSSARY",no
"
Diseñando los cursos faciles de entender para aquellos que no tenemos como lengua nativa el ingles pero que lo queremos aprender",no
"
give them a topic to prepare and find their area of interest",yes
"
giving tasks with limits of delivery. assessments or continuous. This press meet, otherwise there is no pressure to comply.",no
"
I can`t say.",yes
"
I think the most important thing is always encourage students with dynamic classes.",no
"
Interact with native people",no
"
It helps me a lot if there are subtitles in all language",no
"
Making video calls to interact and learn more fluently the English language",no
"
practiced in quiet environments and fun",no
"
Presentar la clase en el idioma materno para comprensión y  posteriormente plantear practicas en ingles",no
"
Sharing my experiencie about chilean culture and spanish lenguage",no
"
Start from the basic level to go forward and learn.",no
"
Taking the same courses in different languages",no
"
The constant offer of actual cursing and the interaction with people who have as the English mother tongue",no
"
The MOOCs helps us if show us more grammar estructures, the context is used depending on the each country and culture",no
"
tools like these online courses allow the development of skills in the English language, I think it's very good opportunity for those who want to learn English and who know nothing of the language",no
"
translate ",yes
"
With interactive classes",no
"
You can add a dictionary to make it easier to learn foreign languages.",no
"
You can add a dictionary to make it easier to learn foreign languages.",no
"""Reading"" is the key to learn everything in this world.",no
&nbsp;,no
(:,no
*----,no
*/,no
",,",no
",,,,,,,,,,,,,,,,,",no
.,no
.,no
.,no
.,yes
.,no
.,no
.,no
.,no
.,yes
.,no
.,no
.,no
.,no
.,no
.,no
.,yes
.,no
.,yes
.,no
.,yes
.,no
.,no
.,no
.,no
.,yes
.,yes
.,no
.,no
.,no
.,yes
.,yes
.,no
.,no
.,yes
.,no
.,no
.,no
.,no
.,no
.,no
.,no
.,yes
.,no
.,yes
.,no
.,yes
.,yes
.,no
.,yes
.,no
.,yes
.,yes
.,no
.,yes
.,no
.,yes
.,no
.,no
.,no
.,no
.,yes
.,no
.,no
.,no
.,yes
.,no
.,no
.,no
.,yes
.,yes
.,yes
.,no
.,no
.,no
.,no
.,yes
.,yes
.,no
.,no
.,yes
.,no
.,no
.,yes
.,no
.,yes
. ,no
. ,no
. ,yes
..,no
..,no
..,no
..,yes
..,no
...,yes
...,no
...,yes
...,yes
...,no
...,yes
...,no
...,no
...,no
...,yes
....,no
....,yes
....,no
....,yes
.....,no
..............,no
.................,yes
....GIVING THEM THE OPPORTUNITY TO SPEAK IN ENGLISH...FOLLOWED BY A NATIVE SPEAKERS WHO CAN HELP STUDENTS TO IMPROVE THEIR FLUENCY ,no
/,yes
/,yes
/,no
/,no
:),yes
:),no
:)  thank you ,yes
":) i'm very sleepy, please stop asking me questions at this time.",no
;,yes
?,no
?,no
?,no
?,yes
??,no
???,yes
?????,no
_____,no
`,yes
`still do not know,no
+,no
'+time to study and do activities.,no
'=,no
"1) Clear instructions
2) Practical learning experience
3) Checking students understanding",yes
"1) Provide an electronic dictionary of the technical terms (jargon) you may use
2) Speak clearly, relatively slowly and without using heavy accent",no
"1. Ensure that there are proofread English subtitles in every video clips.
2. provide a list of relevant words learners may encounter in the process of learning a MOOCs
3. give some advice about how to improve English skills, or provide hyperlinks of useful English learning websites/MOOCs",no
"1. from easy to difficult, step by step
2. native english speaker is the best 
3. more interesting  ",no
"1. Subtitles
2. Variable speed of video 0,9x 0,8x. 0,5x is too slow ",no
"1-Yes, by advising and recommending to them different websites and references which can help them in improving their English level. 
2- Helping them in communicating with professors, teachers, and their classmates in easily way for helping in improving their English level and learning from them in an effectively way.
3- Following them from time to time for ensuring that everything is going well.
",no
2-3 speaker in video,no
24 x7 chat available ,yes
24/7 support and assistance on line,yes
a,yes
a,no
a,yes
a,no
A,no
A comprender mejor el idioma ingles. el nivel de las instituciones que enseñan el idioma es bajo.,no
A glossary with often used specific terms of the course will be very helpfull,no
A good idea could be motivate and help contact between students and teaching different topics that are interesting for everyone.,no
a link to translation machines,no
A lot,no
a lot,yes
A lot of conversation.,no
a lot of videos and conversation  ,no
A most interactive course with a easy method for best learning.,no
A need very much learning english.,no
A person who feel difficulty in speaking and if he knows the course but he/she stammer so by teaching him/her in a better way may help them to overcome this problem,yes
"A pre-test will help you to know students levels in English. Knowing their weakness, you will see how to help them and raise their levels.",no
A reference for the abbreviations would help! some MOOC don't have correlations and you can get lost in translation...,yes
A simplified explanation of the language through English language videos,no
A special program put them preferably Nonfiction,yes
a super lite translator app,yes
A tool able to correct the spelling,yes
A way to help is to have many conversation classes.,no
